run_id,recorded_at_utc,backend,thread_count,cuda_batch_size,image_count,input_resolution,output_resolution,warmups,repetitions,compute_ms,compute_min_ms,compute_max_ms,compute_stddev_ms,end_to_end_ms,end_to_end_min_ms,end_to_end_max_ms,end_to_end_stddev_ms,images_per_second,megapixels_per_second,speedup,parallel_efficiency,validation_passed,max_pixel_error,h2d_ms,kernel_ms,d2h_ms
demo-20260724-001,2026-07-24T14:00:00Z,sequential,,,10,1920x1080,1024x1024,2,5,275,270,283,5.1,328,320,337,6.7,36.36,38.13,1.0,,true,0,,,
demo-20260724-001,2026-07-24T14:00:00Z,openmp,8,,10,1920x1080,1024x1024,2,5,72,70,76,2.2,120,116,126,3.8,138.89,145.64,3.819,0.477,true,0,,,
demo-20260724-001,2026-07-24T14:00:00Z,cuda,,8,10,1920x1080,1024x1024,2,5,55,53,58,1.9,105,101,111,3.6,181.82,190.65,5.0,,true,1,11,35,9
demo-20260724-001,2026-07-24T14:00:00Z,sequential,,,50,1920x1080,1024x1024,2,5,1320,1302,1341,14.2,1530,1508,1558,19.0,37.88,39.72,1.0,,true,0,,,
demo-20260724-001,2026-07-24T14:00:00Z,openmp,8,,50,1920x1080,1024x1024,2,5,250,244,258,5.0,430,420,443,8.4,200.0,209.72,5.28,0.66,true,0,,,
demo-20260724-001,2026-07-24T14:00:00Z,cuda,,8,50,1920x1080,1024x1024,2,5,145,141,150,3.1,330,320,343,8.2,344.83,361.59,9.103,,true,1,28,94,23
demo-20260724-001,2026-07-24T14:00:00Z,sequential,,,100,1920x1080,1024x1024,2,5,2550,2520,2590,25.1,2950,2910,3005,34.0,39.22,41.12,1.0,,true,0,,,
demo-20260724-001,2026-07-24T14:00:00Z,openmp,8,,100,1920x1080,1024x1024,2,5,450,440,463,8.1,780,760,806,15.8,222.22,233.02,5.667,0.708,true,0,,,
demo-20260724-001,2026-07-24T14:00:00Z,cuda,,8,100,1920x1080,1024x1024,2,5,260,253,269,5.8,610,590,638,16.4,384.62,403.30,9.808,,true,1,55,160,45
demo-20260725-001,2026-07-25T09:30:00Z,sequential,,,10,1920x1080,1024x1024,2,5,260,255,268,5.2,310,304,320,6.4,38.46,40.33,1.0,,true,0,,,
demo-20260725-001,2026-07-25T09:30:00Z,openmp,8,,10,1920x1080,1024x1024,2,5,65,63,69,2.1,112,108,118,3.7,153.85,161.32,4.0,0.5,true,0,,,
demo-20260725-001,2026-07-25T09:30:00Z,cuda,,8,10,1920x1080,1024x1024,2,5,50,48,53,1.8,98,94,104,3.5,200.0,209.72,5.2,,true,1,10,32,8
demo-20260725-001,2026-07-25T09:30:00Z,sequential,,,50,1920x1080,1024x1024,2,5,1250,1232,1274,14.0,1470,1448,1499,18.1,40.0,41.94,1.0,,true,0,,,
demo-20260725-001,2026-07-25T09:30:00Z,openmp,8,,50,1920x1080,1024x1024,2,5,230,224,238,4.9,410,400,424,8.1,217.39,227.95,5.435,0.679,true,0,,,
demo-20260725-001,2026-07-25T09:30:00Z,cuda,,8,50,1920x1080,1024x1024,2,5,130,126,135,3.0,310,300,323,8.0,384.62,403.30,9.615,,true,1,25,85,20
demo-20260725-001,2026-07-25T09:30:00Z,sequential,,,100,1920x1080,1024x1024,2,5,2400,2370,2440,24.0,2800,2760,2852,32.0,41.67,43.69,1.0,,true,0,,,
demo-20260725-001,2026-07-25T09:30:00Z,openmp,1,,100,1920x1080,1024x1024,2,5,2450,2420,2490,24.8,2860,2819,2912,33.1,40.82,42.80,0.98,0.98,true,0,,,
demo-20260725-001,2026-07-25T09:30:00Z,openmp,2,,100,1920x1080,1024x1024,2,5,1300,1281,1324,14.8,1700,1670,1738,22.2,76.92,80.66,1.846,0.923,true,0,,,
demo-20260725-001,2026-07-25T09:30:00Z,openmp,4,,100,1920x1080,1024x1024,2,5,700,688,716,9.0,1090,1068,1118,17.0,142.86,149.80,3.429,0.857,true,0,,,
demo-20260725-001,2026-07-25T09:30:00Z,openmp,8,,100,1920x1080,1024x1024,2,5,420,411,432,7.2,760,741,785,14.4,238.10,249.66,5.714,0.714,true,0,,,
demo-20260725-001,2026-07-25T09:30:00Z,cuda,,1,100,1920x1080,1024x1024,2,5,600,585,620,11.0,970,940,1006,22.0,166.67,174.77,,,false,3,80,350,70
demo-20260725-001,2026-07-25T09:30:00Z,cuda,,4,100,1920x1080,1024x1024,2,5,300,293,310,5.7,650,630,676,15.0,333.33,349.53,8.0,,true,1,60,195,45
demo-20260725-001,2026-07-25T09:30:00Z,cuda,,8,100,1920x1080,1024x1024,2,5,240,234,248,4.8,570,550,594,13.0,416.67,436.91,10.0,,true,1,50,155,35
